disorder,prop_disorder,n_agents,p,s,m,n,dict_get_mode,dict_return_mode,avg_demand,avg_util,max_prop_disorder,max_disorder,scenario,run_time
3,0.025,432,0.1,3,40,4,{'random': 1},{'random': 1},12.0,1.0,0.06666666666666668,8.000000000000002,random,0.3989262580871582
2,0.016666666666666666,432,0.1,3,40,4,{'random': 1},{'random': 1},12.0,1.0,0.06666666666666668,8.000000000000002,random,0.3989262580871582
2,0.016666666666666666,432,0.1,3,40,4,{'random': 1},{'random': 1},12.0,1.0,0.06666666666666668,8.000000000000002,random,0.3989262580871582
1,0.008333333333333333,432,0.1,3,40,4,{'random': 1},{'random': 1},12.0,1.0,0.06666666666666668,8.000000000000002,random,0.3989262580871582
4,0.022222222222222223,162,0.1,3,60,6,{'random': 1},{'random': 1},4.5,0.25,0.06666666666666668,12.000000000000002,random,0.17853069305419922
2,0.011111111111111112,162,0.1,3,60,6,{'random': 1},{'random': 1},4.5,0.25,0.06666666666666668,12.000000000000002,random,0.17853069305419922
4,0.022222222222222223,162,0.1,3,60,6,{'random': 1},{'random': 1},4.5,0.25,0.06666666666666668,12.000000000000002,random,0.17853069305419922
4,0.022222222222222223,162,0.1,3,60,6,{'random': 1},{'random': 1},4.5,0.25,0.06666666666666668,12.000000000000002,random,0.17853069305419922
3,0.016666666666666666,324,0.1,3,60,6,{'random': 1},{'random': 1},9.0,0.5,0.06666666666666668,12.000000000000002,random,0.3530614376068115
5,0.027777777777777776,324,0.1,3,60,6,{'random': 1},{'random': 1},9.0,0.5,0.06666666666666668,12.000000000000002,random,0.3530614376068115
5,0.027777777777777776,324,0.1,3,60,6,{'random': 1},{'random': 1},9.0,0.5,0.06666666666666668,12.000000000000002,random,0.3530614376068115
2,0.011111111111111112,324,0.1,3,60,6,{'random': 1},{'random': 1},9.0,0.5,0.06666666666666668,12.000000000000002,random,0.3530614376068115
2,0.011111111111111112,486,0.1,3,60,6,{'random': 1},{'random': 1},13.5,0.75,0.06666666666666668,12.000000000000002,random,0.5435471534729004
3,0.016666666666666666,486,0.1,3,60,6,{'random': 1},{'random': 1},13.5,0.75,0.06666666666666668,12.000000000000002,random,0.5435471534729004
1,0.005555555555555556,486,0.1,3,60,6,{'random': 1},{'random': 1},13.5,0.75,0.06666666666666668,12.000000000000002,random,0.5435471534729004
2,0.011111111111111112,486,0.1,3,60,6,{'random': 1},{'random': 1},13.5,0.75,0.06666666666666668,12.000000000000002,random,0.5435471534729004
1,0.005555555555555556,648,0.1,3,60,6,{'random': 1},{'random': 1},18.0,1.0,0.06666666666666668,12.000000000000002,random,0.6289021968841553
2,0.011111111111111112,648,0.1,3,60,6,{'random': 1},{'random': 1},18.0,1.0,0.06666666666666668,12.000000000000002,random,0.6289021968841553
6,0.03333333333333333,648,0.1,3,60,6,{'random': 1},{'random': 1},18.0,1.0,0.06666666666666668,12.000000000000002,random,0.6289021968841553
0,0.0,648,0.1,3,60,6,{'random': 1},{'random': 1},18.0,1.0,0.06666666666666668,12.000000000000002,random,0.6289021968841553
3,0.05,81,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},2.25,0.25,0.10000000000000002,6.000000000000001,random,0.10774445533752441
1,0.016666666666666666,81,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},2.25,0.25,0.10000000000000002,6.000000000000001,random,0.10774445533752441
5,0.08333333333333333,81,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},2.25,0.25,0.10000000000000002,6.000000000000001,random,0.10774445533752441
1,0.016666666666666666,81,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},2.25,0.25,0.10000000000000002,6.000000000000001,random,0.10774445533752441
3,0.05,162,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},4.5,0.5,0.10000000000000002,6.000000000000001,random,0.17749357223510742
2,0.03333333333333333,162,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},4.5,0.5,0.10000000000000002,6.000000000000001,random,0.17749357223510742
1,0.016666666666666666,162,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},4.5,0.5,0.10000000000000002,6.000000000000001,random,0.17749357223510742
2,0.03333333333333333,162,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},4.5,0.5,0.10000000000000002,6.000000000000001,random,0.17749357223510742
2,0.03333333333333333,243,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},6.75,0.75,0.10000000000000002,6.000000000000001,random,0.2832317352294922
2,0.03333333333333333,243,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},6.75,0.75,0.10000000000000002,6.000000000000001,random,0.2832317352294922
2,0.03333333333333333,243,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},6.75,0.75,0.10000000000000002,6.000000000000001,random,0.2832317352294922
2,0.03333333333333333,243,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},6.75,0.75,0.10000000000000002,6.000000000000001,random,0.2832317352294922
3,0.05,324,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},9.0,1.0,0.10000000000000002,6.000000000000001,random,0.33115220069885254
2,0.03333333333333333,324,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},9.0,1.0,0.10000000000000002,6.000000000000001,random,0.33115220069885254
2,0.03333333333333333,324,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},9.0,1.0,0.10000000000000002,6.000000000000001,random,0.33115220069885254
1,0.016666666666666666,324,0.15000000000000002,3,20,3,{'random': 1},{'random': 1},9.0,1.0,0.10000000000000002,6.000000000000001,random,0.33115220069885254
1,0.008333333333333333,162,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},4.5,0.25,0.10000000000000002,12.000000000000002,random,0.18648982048034668
5,0.041666666666666664,162,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},4.5,0.25,0.10000000000000002,12.000000000000002,random,0.18648982048034668
6,0.05,162,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},4.5,0.25,0.10000000000000002,12.000000000000002,random,0.18648982048034668
5,0.041666666666666664,162,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},4.5,0.25,0.10000000000000002,12.000000000000002,random,0.18648982048034668
5,0.041666666666666664,324,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},9.0,0.5,0.10000000000000002,12.000000000000002,random,0.3860623836517334
1,0.008333333333333333,324,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},9.0,0.5,0.10000000000000002,12.000000000000002,random,0.3860623836517334
5,0.041666666666666664,324,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},9.0,0.5,0.10000000000000002,12.000000000000002,random,0.3860623836517334
4,0.03333333333333333,324,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},9.0,0.5,0.10000000000000002,12.000000000000002,random,0.3860623836517334
3,0.025,486,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},13.5,0.75,0.10000000000000002,12.000000000000002,random,0.7425341606140137
5,0.041666666666666664,486,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},13.5,0.75,0.10000000000000002,12.000000000000002,random,0.7425341606140137
1,0.008333333333333333,486,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},13.5,0.75,0.10000000000000002,12.000000000000002,random,0.7425341606140137
1,0.008333333333333333,486,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},13.5,0.75,0.10000000000000002,12.000000000000002,random,0.7425341606140137
3,0.025,648,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},18.0,1.0,0.10000000000000002,12.000000000000002,random,0.6238727569580078
1,0.008333333333333333,648,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},18.0,1.0,0.10000000000000002,12.000000000000002,random,0.6238727569580078
3,0.025,648,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},18.0,1.0,0.10000000000000002,12.000000000000002,random,0.6238727569580078
1,0.008333333333333333,648,0.15000000000000002,3,40,6,{'random': 1},{'random': 1},18.0,1.0,0.10000000000000002,12.000000000000002,random,0.6238727569580078
